Column1,Column10,PL
GAMEPLAY_HINTS_HINT_NOTENOUGHBLOOD_705_M,You are lacking sacrifices for that creature.,Brakuje ci poświęceń dla tego stworzenia.
GAMEPLAY_HINTS_HINT_NOTENOUGHBLOOD_705_F,,#VALUE!
GAMEPLAY_HINTS_HINT_NOTENOUGHBLOOD_REPEAT_#1_699_M,To play that [c:bR][v:0][c:] you'll need to sacrifice [c:bR][v:1] different creatures[c:].,Aby zagrać w to [C: Br] [V: 0] [C:] Musisz poświęcić [C: Br] [V: 1] Różne stworzenia [C:].
GAMEPLAY_HINTS_HINT_NOTENOUGHBLOOD_REPEAT_#1_699_F,,#VALUE!
GAMEPLAY_HINTS_HINT_NOTENOUGHBLOOD_REPEAT_#2_705_M,The [c:bR][v:0][c:] demands more blood than you have creatures to sacrifice.,[C: Br] [V: 0] [C:] wymaga więcej krwi niż stworzenia do poświęcenia.
GAMEPLAY_HINTS_HINT_NOTENOUGHBLOOD_REPEAT_#2_705_F,,#VALUE!
GAMEPLAY_HINTS_HINT_CANTSACRIFICETERRAIN_859_M,You can't draw blood from a [v:0].,Nie możesz czerpać krwi z [V: 0].
GAMEPLAY_HINTS_HINT_CANTSACRIFICETERRAIN_859_F,,#VALUE!
GAMEPLAY_HINTS_HINT_CANTSACRIFICETERRAIN_REPEAT_#1_357_M,You... can't sacrifice that.,Ty ... nie możesz tego poświęcić.
GAMEPLAY_HINTS_HINT_CANTSACRIFICETERRAIN_REPEAT_#1_357_F,,#VALUE!
GAMEPLAY_HINTS_HINT_CANTSACRIFICETERRAIN_REPEAT_#2_095_M,That isn't a worthy sacrifice.,To nie jest godna ofiara.
GAMEPLAY_HINTS_HINT_CANTSACRIFICETERRAIN_REPEAT_#2_095_F,,#VALUE!
GAMEPLAY_HINTS_HINT_CANTSACRIFICETERRAIN_REPEAT_#3_170_M,A [v:0] does not bleed.,[V: 0] nie krwawi.
GAMEPLAY_HINTS_HINT_CANTSACRIFICETERRAIN_REPEAT_#3_170_F,,#VALUE!
GAMEPLAY_HINTS_HINT_CANTSACRIFICETERRAIN_REPEAT_#4_706_M,That will not suffice.,To nie wystarczy.
GAMEPLAY_HINTS_HINT_CANTSACRIFICETERRAIN_REPEAT_#4_706_F,,#VALUE!
SPECIAL_NODES_WOODCARVERINTRO_832_M,The bones of the ancient woman creaked and groaned as she approached.,"Kości starożytnej kobiety skrzypiały się i jęczały, gdy się zbliżyła."
SPECIAL_NODES_WOODCARVERINTRO_832_F,,#VALUE!
SPECIAL_NODES_WOODCARVERINTRO_121_M,"With gently shaking hands, she placed her offerings before you.","Z delikatnie trzęsąc się dłoniami, umieściła przed tobą ofiarę."
SPECIAL_NODES_WOODCARVERINTRO_121_F,,#VALUE!
